Customer Id,Claim
H11920,0.09095209912850982
H11921,0.07936238813901932
H9805,0.08330419843558265
H7493,0.19301655762005415
H7494,0.16670405318724374
H10545,0.38044455004227756
H8962,0.04683270801706837
H1015,0.2436226014455654
H9710,0.22229450558684988
H9029,0.2054147810911378
H11274,0.10202264067838303
H10785,0.09618788997591077
H10786,0.0891824095660666
H882,0.08262446139062253
H10742,0.09377174925377688
H12485,0.20556690679908013
H10972,0.19672094648766283
H10974,0.1825152091847135
H10975,0.10243930766791672
H10925,0.4246354516119846
H11877,0.18003320445793478
H8645,0.08248893189676469
H10692,0.49890211356008546
H10877,0.21977291337780636
H10905,0.7254112650272604
H10906,0.6942279982844601
H11124,0.4186019399846854
H11125,0.43189195754539095
H11242,0.7234568934817035
H11281,0.3190506598368604
H11550,0.7463626838248874
H12562,0.575528052128986
H12563,0.3548906455421967
H7507,0.594711893709732
H7646,0.3188419087324639
H8315,0.11461481183912997
H8494,0.1524210823257996
H8526,0.36567220641227893
H8534,0.683486678696719
H8535,0.33930391583054126
H8536,0.3055826135912792
H8537,0.6336824964253972
H8538,0.5284030024457392
H8539,0.5125345260358521
H8540,0.3941212053300873
H8544,0.36668855374017595
H8545,0.14482818968203648
H8546,0.3941212053300873
H8547,0.3696397874418266
H8548,0.18948907380250982
H8550,0.18392369551621807
H8551,0.4536675402794555
H8552,0.6262754751845028
H8553,0.5950596676351357
H8557,0.45634777524562037
H8562,0.4585126640656216
H8564,0.2952353087264602
H8565,0.1722768722872069
H8567,0.32899451649781214
H8569,0.3172296588514134
H8571,0.5696931783661343
H8572,0.6036520234210678
H8573,0.4187395152887813
H8576,0.7276781326884569
H8577,0.6682796293360255
H8578,0.16441741330234208
H859,0.33069124418898277
H8603,0.2551081115743476
H8641,0.6041265886176339
H9799,0.1623233197089074
H9902,0.16098588486115412
H8312,0.12143344601901146
H8477,0.5857991355766569
H9437,0.17878420312305668
H10638,0.2618168717789598
H10963,0.15274048320720704
H10964,0.24206258973605305
H11375,0.2784259053874239
H12174,0.2894584226829726
H12176,0.2569559273764987
H12199,0.2737386183916279
H8474,0.3242859947386052
H8475,0.25599721753425964
H8855,0.16486081365371275
H8877,0.7591019204640449
H968,0.6513009488058237
H969,0.759817560304386
H970,0.6642831863466081
H12034,0.14922933316195586
H1056,0.08620748769366021
H11679,0.1283005067616362
H11680,0.06784154558365478
H10118,0.6401834293044455
H10983,0.3526051069658904
H11275,0.17938886448424704
H11562,0.08158522183947318
H11651,0.3696397874418266
H12006,0.3418392298857722
H7504,0.11843662505524034
H7505,0.1257186981231215
H7540,0.7885936884542534
H7560,0.6581375566366487
H7561,0.22039693851201286
H8163,0.1473752777725482
H8166,0.08946067123886164
H8486,0.3910957806998892
H8487,0.35589874110673836
H8488,0.3229409596132907
